,Diameter [px],Global contrasts,Contrast modulation / visibility,"is fully developed (1:yes, 0:no)? (256 bins)"
substracted_im_0.tiff,8.0,0.16726726245768944,0.5916588124410933,0.0
substracted_im_1.tiff,8.0,0.16138974373418713,0.5733087330873309,0.0
substracted_im_2.tiff,8.0,0.157463828610633,0.5799479324332506,0.0
substracted_im_3.tiff,8.0,0.17278591973436777,0.6400984966303784,0.0
substracted_im_4.tiff,8.5,0.14791079542472535,0.5655232055347362,0.0
substracted_im_5.tiff,7.5,0.19659307839869994,0.7085134933651409,0.0
substracted_im_6.tiff,11.5,0.13951909333077397,0.5670831538130117,0.0
substracted_im_7.tiff,17.5,0.10311776713726797,0.45886551465063863,0.0
substracted_im_8.tiff,16.5,0.08277798697796228,0.3436399217221135,0.0
substracted_im_9.tiff,14.5,0.07797042311093048,0.31402379559196414,0.0
