,Diameter [px],Global contrasts,Contrast modulation / visibility,"is fully developed (1:yes, 0:no)? (256 bins)"
substracted_im_0.tiff,7.5,0.12226818793744251,0.5077055320194019,0.0
substracted_im_1.tiff,7.5,0.12569138171825703,0.5681550346994894,0.0
substracted_im_2.tiff,6.5,0.12761425520647585,0.5528530259365995,0.0
substracted_im_3.tiff,5.0,0.08709907231710728,0.46470333477695974,0.0
substracted_im_4.tiff,3.5,0.07341867752748164,0.43937152264060514,0.0
substracted_im_5.tiff,2.0,0.16207676326403508,0.8265356407803577,0.0
substracted_im_6.tiff,2.0,0.11254874894508672,0.5051112645038294,0.0
substracted_im_7.tiff,2.0,0.24413546054661184,0.9298765772598773,0.0
substracted_im_8.tiff,4.0,0.18520348224386704,0.9427297265579158,0.0
substracted_im_9.tiff,5.5,0.17931242831540317,0.7175555718582642,0.0
